"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
46067685503,4722;2;1;1;79;;;;;;;;;"14/02/2026 16:27:07";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067685596,0417;2;0;1;79;;;;;;;;;"14/02/2026 16:27:15";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067721198,0556;2;1;1;63;;;;;;;;;"14/02/2026 17:18:32";"Low water pressure in the network - alarm";"HMI_Connection_1"
46067721336,956;2;0;1;63;;;;;;;;;"14/02/2026 17:18:44";"Low water pressure in the network - alarm";"HMI_Connection_1"
46067730503,6574;2;1;1;79;;;;;;;;;"14/02/2026 17:31:56";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067730943,4722;2;0;1;79;;;;;;;;;"14/02/2026 17:32:34";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067731718,9468;2;1;1;79;;;;;;;;;"14/02/2026 17:33:41";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067731753,669;2;0;1;79;;;;;;;;;"14/02/2026 17:33:44";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067731973,5648;2;1;1;79;;;;;;;;;"14/02/2026 17:34:03";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067732019,8843;2;0;1;79;;;;;;;;;"14/02/2026 17:34:07";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067732505,9838;2;1;1;79;;;;;;;;;"14/02/2026 17:34:49";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067732540,706;2;0;1;79;;;;;;;;;"14/02/2026 17:34:52";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067744820,8565;2;1;1;79;;;;;;;;;"14/02/2026 17:52:33";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067744844,0046;2;0;1;79;;;;;;;;;"14/02/2026 17:52:35";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067784543,2755;2;1;1;79;;;;;;;;;"14/02/2026 18:49:45";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067784578,0093;2;0;1;79;;;;;;;;;"14/02/2026 18:49:48";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812286,4699;2;1;1;79;;;;;;;;;"14/02/2026 19:29:42";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46067812436,9444;2;0;1;79;;;;;;;;;"14/02/2026 19:29:55";"Damaged water pressure sensor in the network";"HMI_Connection_1"
